8,1744889,1.0
8,1249686,2.0
8,1648695,5.0
8,753836,2.0
8,977973,4.0
8,184660,2.0
8,2227565,3.0
8,946156,3.0
8,221926,4.0
8,755557,3.0
8,2376121,3.0
8,1207104,3.0
8,2612086,4.0
8,449155,2.0
8,450324,4.0
8,1530606,4.0
8,1987201,2.0
8,1054661,4.0
8,663880,1.0
8,1438606,3.0
8,640323,4.0
8,2611773,5.0
8,1043309,4.0
8,1939137,3.0
8,215911,3.0
8,2383798,4.0
8,1219679,2.0
8,2545922,2.0
8,320177,4.0
28,2325737,4.0
28,908205,4.0
28,2611449,4.0
28,915571,4.0
28,1579413,5.0
28,2169283,5.0
28,950189,3.0
28,1036139,4.0
28,1903123,4.0
28,2065028,4.0
28,1891024,3.0
28,1228197,5.0
28,583554,5.0
28,1084538,5.0
28,445491,4.0
28,1433690,3.0
28,2648287,3.0
28,1856275,4.0
28,1966321,5.0
28,1234055,5.0
28,703996,3.0
28,1262307,4.0
28,1638580,5.0
28,45234,3.0
28,924399,5.0
28,1381258,4.0
28,2411855,5.0
28,797655,4.0
28,1300687,3.0
28,799978,3.0
28,183435,2.0
28,1742805,4.0
28,1096479,4.0
28,2193995,3.0
28,1390768,3.0
28,2068432,3.0
28,277837,5.0
28,558480,3.0
28,429357,4.0
28,2163553,4.0
28,699133,4.0
28,2515847,3.0
28,2213,5.0
28,801010,4.0
28,476873,3.0
28,2444087,4.0
28,1969285,4.0
28,1006958,5.0
28,2576537,4.0
28,2080743,4.0
28,680928,5.0
28,323684,4.0
28,2043784,4.0
28,1893708,3.0
28,2367823,4.0
28,1255348,4.0
28,968184,3.0
28,340453,4.0
28,1053421,3.0
28,684531,4.0
28,2085219,5.0
28,707012,4.0
28,1192969,5.0
28,2465223,4.0
28,644339,4.0
28,1490538,5.0
28,1625247,5.0
28,1452969,5.0
28,1686134,2.0
28,1475380,5.0
28,84947,4.0
28,1744939,4.0
28,1470972,4.0
28,1321145,3.0
28,901801,4.0
28,949121,4.0
28,2323668,2.0
28,2402914,5.0
28,1877370,4.0
28,1149359,3.0
28,2037693,2.0
28,2191884,2.0
28,934647,4.0
28,330221,3.0
28,1878057,4.0
28,175138,3.0
28,1836648,5.0
28,1811452,4.0
28,2359796,4.0
28,55432,3.0
28,313391,4.0
28,2519865,5.0
